,street,city_state,price,bed,bath,sqft,walkscore,transitscore,bikescore,competitivescore,url
104,4316 Rilea Way,"Oakland, CA 94605",1599000,9Beds,5Baths,"5,307Sq Ft",31 / 100,27 / 100,18 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4316-Rilea-Way-94605/unit-1/home/1642619
105,2222 85th Ave,"Oakland, CA 94605",550000,3Beds,2Baths,"1,418Sq Ft",69 / 100,56 / 100,64 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2222-85th-Ave-94605/home/1588000
106,16812 Carriage Ln,"San Leandro, CA 94578",635000,2Beds,1Bath,778Sq Ft,62 / 100,41 / 100,44 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/16812-Carriage-Way-94578/home/794669
107,7737 Sunset Ave,"Newark, CA 94560",1688000,4Beds,3Baths,"2,191Sq Ft",67 / 100,0,49 / 100,96Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Newark/7737-Sunset-Ave-94560/home/25682376
108,5545 Stockton Loop,"Livermore, CA 94550",2389000,5Beds,5Baths,"4,199Sq Ft",7 / 100,0,67 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/5545-Stockton-Loop-94550/home/12114689
109,393 Elizabeth Ct,"Livermore, CA 94551",779000,2Beds,1Bath,840Sq Ft,84 / 100,0,78 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/393-Elizabeth-Ct-94551/home/1946665
110,8715 E St,"OAKLAND, CA 94621",399000,4Beds,2Baths,"1,384Sq Ft",67 / 100,57 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/8715-E-St-94621/home/886274
111,29396 Providence Way,"Hayward, CA 94544",210000,2Beds,2Baths,"1,440Sq Ft",38 / 100,32 / 100,61 / 100,0,https://www.redfin.com//CA/Hayward/29396-Providence-Way-94544/home/17898856
112,730 Fargo Ave #6,"SAN LEANDRO, CA 94579",599000,3Beds,2.5Baths,"1,136Sq Ft",81 / 100,39 / 100,60 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/730-Fargo-Ave-94579/unit-6/home/17183849
113,3369 Araldi Ln,"DUBLIN, CA 94568",1325000,4Beds,3.5Baths,"1,923Sq Ft",34 / 100,0,51 / 100,96Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/3369-Araldi-Ln-94568/home/40628339
114,1305 Marin Ave,"Albany, CA 94706",1397000,5Beds,3.5Baths,"1,572Sq Ft",92 / 100,54 / 100,99 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Albany/1305-Marin-Ave-94706/home/2006684
115,7642 Arbor Creek Cir,"DUBLIN, CA 94568",899950,3Beds,2.5Baths,"1,200Sq Ft",59 / 100,0,75 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/7642-Arbor-Creek-Cir-94568/home/1529791
116,11610 Estrella Ct,"Dublin, CA 94568",1650000,4Beds,2.5Baths,"2,472Sq Ft",38 / 100,0,41 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/11610-Estrella-Ct-94568/home/1772959
117,1305 50Th Ave,"Oakland, CA 94601",575000,4Beds,2Baths,"1,650Sq Ft",91 / 100,56 / 100,78 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1305-50th-Ave-94601/home/1118058
118,263 Leo Ave,"San Leandro, CA 94577",950000,2Beds,1Bath,"1,365Sq Ft",87 / 100,62 / 100,72 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/263-Leo-Ave-94577/home/1884062
119,Undisclosed Address,"Oakland, CA 94603",199000,—Beds,—Baths,"9,381Sq Ft (Lot)",22 / 100,31 / 100,25 / 100,0,https://www.redfin.com//CA/Oakland/Undisclosed-address-94611/home/179290111
120,Undisclosed Address,"Oakland, CA 94603",175000,—Beds,—Baths,"7,871Sq Ft (Lot)",22 / 100,31 / 100,25 / 100,0,https://www.redfin.com//CA/Oakland/Undisclosed-address-94611/home/179289941
121,3697 Access Cmn,"Fremont, CA 94538",1295933,2Beds,2.5Baths,"1,307Sq Ft",38 / 100,32 / 100,63 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/3697-Access-CMN-94538/home/179289635
122,508 Palmer Ave,"Hayward, CA 94541",1250888,4Beds,4Baths,"1,995Sq Ft",65 / 100,59 / 100,62 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/508-Palmer-Ave-94541/home/109786238
123,21915 Meekland Ave,"Hayward, CA 94541",950000,2Beds,1Bath,"1,852Sq Ft",52 / 100,0,62 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/21915-Meekland-Ave-94541/home/1664122
124,21911 Meekland Ave,"Hayward, CA 94541",2375000,5Beds,4Baths,—Sq Ft,52 / 100,0,62 / 100,0,https://www.redfin.com//CA/Hayward/21911-Meekland-Ave-94541/home/1485167
125,1067 61st St,"Oakland, CA 94608",475000,—Beds,—Baths,"3,333Sq Ft (Lot)",89 / 100,60 / 100,87 / 100,0,https://www.redfin.com//CA/Oakland/1067-61st-St-94608/home/179281490
126,1237 Fordham Ave,"San Leandro, CA 94579-1127",849000,3Beds,2Baths,"1,437Sq Ft",48 / 100,34 / 100,63 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/1237-Fordham-Ave-94579/home/1623554
127,108 STRATHMOOR Dr,"Berkeley, CA 94705",1295000,2Beds,1Bath,"1,692Sq Ft",6 / 100,14 / 100,22 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Berkeley/108-Strathmoor-Dr-94705/home/1079138
128,5416 Cleveland Pl,"Fremont, CA 94538",1650000,5Beds,3Baths,"1,900Sq Ft",78 / 100,37 / 100,55 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/5416-Cleveland-Pl-94538/home/1771968
129,2353 - 2355 83rd Ave,"Oakland, CA 94605",488000,2Beds,2Baths,"1,464Sq Ft",67 / 100,57 / 100,63 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2353-83rd-Ave-94605/home/1063512
130,1514 23Rd Ave,"Oakland, CA 94606",749000,5Beds,3Baths,"1,704Sq Ft",95 / 100,60 / 100,82 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1514-23rd-Ave-94606/home/21652082
131,711 Old Canyon Rd Spc 35,"Fremont, CA 94536",219000,2Beds,2Baths,"1,344Sq Ft",30 / 100,25 / 100,48 / 100,0,https://www.redfin.com//CA/Fremont/711-Old-Canyon-Rd-94536/unit-35/home/1077904
132,66 Fairmount Ave #311,"Oakland, CA 94611",579000,2Beds,2Baths,"1,018Sq Ft",93 / 100,67 / 100,78 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/66-Fairmount-Ave-94611/unit-311/home/12173788
133,721 Buriat St,"San Leandro, CA 94577",1388000,5Beds,3Baths,"2,525Sq Ft",51 / 100,56 / 100,61 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/721-Buriat-St-94577/home/939422
134,814 Hagemann Dr,"Livermore, CA 94551",1299900,4Beds,2Baths,"2,042Sq Ft",41 / 100,0,69 / 100,95Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/814-Hagemann-Dr-94551/home/1332058
135,2 Orinda Vista Dr,"OAKLAND, CA 94605",1388000,3Beds,2Baths,"2,454Sq Ft",14 / 100,26 / 100,17 / 100,88Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2-Orinda-Vista-Dr-94605/home/601459
136,1224 Harvest Rd,"Pleasanton, CA 94566",2200000,4Beds,2.5Baths,"2,088Sq Ft",63 / 100,31 / 100,73 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pleasanton/1224-Harvest-Rd-94566/home/1923639
137,1616 Sioux Dr,"Fremont, CA 94539",3390000,5Beds,3.5Baths,"3,529Sq Ft",10 / 100,32 / 100,27 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/1616-Sioux-Dr-94539/home/654837
138,16042 Via Walter,"San Lorenzo, CA 94580-1932",799000,4Beds,2Baths,"1,226Sq Ft",37 / 100,28 / 100,53 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Lorenzo/16042-Via-Walter-94580/home/1509486
139,762 Barbara Rd,"Oakland, CA 94610",1300000,4Beds,4Baths,"4,800Sq Ft",90 / 100,55 / 100,60 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/762-Barbara-Rd-94610/home/1841564
140,8 Bishop Ct,"Oakland, CA 94611",440000,—Beds,—Baths,0.36Acre (Lot),16 / 100,24 / 100,26 / 100,0,https://www.redfin.com//CA/Oakland/8-Bishop-Ct-94611/home/179273759
141,744 Mountain Blvd,"Oakland, CA 94611",1950000,5Beds,4Baths,"3,319Sq Ft",22 / 100,26 / 100,33 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/744-Mountain-Blvd-94611/home/731153
142,3651 Knollwood Ter #112,"FREMONT, CA 94536",349000,1Bed,1Bath,714Sq Ft,82 / 100,42 / 100,64 / 100,91Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/3651-Knollwood-Ter-94536/unit-112/home/1921696
143,60 Aventura Cmn,"Fremont, CA 94536",1448000,3Beds,2.5Baths,"1,564Sq Ft",31 / 100,32 / 100,59 / 100,85Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/60-Aventura-Cmn-94536/home/179273151
144,656 Colette Pl,"Hayward, CA 94544",848800,3Beds,1Bath,951Sq Ft,70 / 100,37 / 100,65 / 100,79Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/656-Colette-Pl-94544/home/1557484
145,4100 Arbutus Ct,"Hayward, CA 94542",1697900,3Beds,2Baths,"2,385Sq Ft",7 / 100,0,17 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/4100-Arbutus-Ct-94542/home/966985
146,2772 Meadowlark Dr,"Union City, CA 94587",1300000,3Beds,2Baths,"1,392Sq Ft",49 / 100,0,55 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Union-City/2772-Meadowlark-Dr-94587/home/1025455
147,4696 amiens,"Fremont, CA 94555",2100000,4Beds,2.5Baths,"2,035Sq Ft",61 / 100,29 / 100,66 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/4696-Amiens-Ave-94555/home/2010870
148,2848 Delaware St,"Oakland, CA 94602",699000,2Beds,1Bath,"1,118Sq Ft",86 / 100,55 / 100,44 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2848-Delaware-St-94602/home/1030904
149,1401 Excelsior Ave,"Oakland, CA 94602",995000,3Beds,1.5Baths,"1,200Sq Ft",77 / 100,57 / 100,67 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1401-Excelsior-Ave-94602/home/535055
150,35013 Dorchester Ct,"Newark, CA 94560",1488888,5Beds,2Baths,"1,858Sq Ft",35 / 100,0,57 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Newark/35013-Dorchester-Ct-94560/home/951826
151,961 Lambaren Ave,"LIVERMORE, CA 94551",1099999,4Beds,2Baths,"1,464Sq Ft",76 / 100,0,84 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/961-Lambaren-Ave-94551/home/884283
152,37822 Taro Ter,"Newark, CA 94560",1099800,3Beds,3Baths,"1,540Sq Ft",58 / 100,0,47 / 100,96Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Newark/37822-Taro-Ter-94560/home/108460008
153,830 Hillside Ave,"Albany, CA 94706",1380000,4Beds,3Baths,"2,444Sq Ft",70 / 100,54 / 100,73 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Albany/830-Hillside-Ave-94706/home/713082
154,1575 171st Ave,"Hayward, CA 94541",950000,4Beds,2.5Baths,"1,543Sq Ft",58 / 100,39 / 100,25 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/1575-171st-Ave-94541/home/794692
155,874 Lambaren Ave,"Livermore, CA 94551",989900,4Beds,2Baths,"1,660Sq Ft",77 / 100,0,83 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/874-Lambaren-Ave-94551/home/969795
156,4514 Linden St,"Oakland, CA 94608",889000,3Beds,2Baths,"1,114Sq Ft",91 / 100,69 / 100,98 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4514-Linden-St-94608/home/528988
157,6425 Zinn Dr,"Oakland, CA 94611",1398000,4Beds,3.5Baths,"3,174Sq Ft",45 / 100,34 / 100,34 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6425-Zinn-Dr-94611/home/1833947
158,558 Walavista Ave,"Oakland, CA 94610",1995000,4Beds,3Baths,"2,950Sq Ft",79 / 100,49 / 100,57 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/558-Walavista-Ave-94610/home/526802
159,1815 E 38th St,"Oakland, CA 94602",749000,1Bed,1Bath,815Sq Ft,89 / 100,58 / 100,57 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1815-E-38th-St-94602/home/535573
160,9627 B St,"Oakland, CA 94603",449000,—Beds,—Baths,"3,751Sq Ft (Lot)",72 / 100,48 / 100,55 / 100,0,https://www.redfin.com//CA/Oakland/9627-B-St-94603/home/22688971
161,17842 Carmel Dr,"Castro Valley, CA 94546",1249000,3Beds,2Baths,"1,647Sq Ft",32 / 100,16 / 100,28 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Castro-Valley/17842-Carmel-Dr-94546/home/1554440
162,6649 OAKWOOD Dr,"Oakland, CA 94611",1225000,3Beds,3.5Baths,"2,039Sq Ft",7 / 100,7 / 100,18 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6649-Oakwood-Dr-94611/home/1577769
163,4706 Jaques Ct,"Fremont, CA 94555",1999999,5Beds,2.5Baths,"2,238Sq Ft",61 / 100,29 / 100,63 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/4706-Jaques-Ct-94555/home/1144489
164,59 Prospect Rd,"Piedmont, CA 94610",1995000,3Beds,2Baths,"2,119Sq Ft",55 / 100,0,35 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Piedmont/59-Prospect-Rd-94610/home/1251914
165,14386 Corvallis St,"San Leandro, CA 94579",849000,3Beds,1Bath,"1,436Sq Ft",44 / 100,32 / 100,64 / 100,89Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/San-Leandro/14386-Corvallis-St-94579/home/844006
166,123 Sunnyside Ave,"Piedmont, CA 94611",1495000,3Beds,2.5Baths,"2,263Sq Ft",84 / 100,0,54 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Piedmont/123-Sunnyside-Ave-94611/home/1776699
167,2003 Rosedale Ave,"Oakland, CA 94601",869888,3Beds,2Baths,"1,156Sq Ft",85 / 100,64 / 100,65 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/2003-Rosedale-Ave-94601/home/1465545
168,845 Sunset Dr,"Livermore, CA 94551",939900,3Beds,2Baths,"1,559Sq Ft",56 / 100,0,72 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/845-Sunset-Dr-94551/home/2022556
169,622 Carlston Ave,"Oakland, CA 94610",2100000,4Beds,3.5Baths,"2,704Sq Ft",54 / 100,48 / 100,40 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/622-Carlston-Ave-94610/home/1974181
170,4008 Rhoda Ave,"Oakland, CA 94602",1199000,3Beds,2Baths,"1,727Sq Ft",62 / 100,48 / 100,26 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/4008-Rhoda-Ave-94602/home/2029691
171,1718 Benton St,"Alameda, CA 94501",1299000,4Beds,2Baths,"2,068Sq Ft",77 / 100,46 / 100,83 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Alameda/1718-Benton-St-94501/home/1702870
172,867 Prospect Ave,"Oakland, CA 94610",749000,1Bed,1Bath,562Sq Ft,83 / 100,57 / 100,54 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/867-Prospect-Ave-94610/home/2025584
173,1863 Clemens Rd,"Oakland, CA 94602",1475000,3Beds,2Baths,"2,219Sq Ft",64 / 100,38 / 100,29 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1863-Clemens-Rd-94602/home/1936793
174,21095 Gary Dr #107,"HAYWARD, CA 94546",595000,2Beds,2Baths,"1,089Sq Ft",51 / 100,40 / 100,33 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/21095-Gary-Dr-94546/unit-107/home/1969320
175,4575 Edwards Ln,"Castro Valley, CA 94546",1248000,3Beds,2Baths,"1,480Sq Ft",47 / 100,28 / 100,33 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Castro-Valley/4575-Edwards-Ln-94546/home/828948
176,3934 Elston Ave,"Oakland, CA 94602",1149000,2Beds,2Baths,"1,550Sq Ft",87 / 100,57 / 100,60 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/3934-Elston-Ave-94602/home/1888411
177,818 Rosemount Rd,"Oakland, CA 94610",1895000,3Beds,2.5Baths,"2,672Sq Ft",73 / 100,53 / 100,56 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/818-Rosemount-Rd-94610/home/526737
178,4747 Cortez Ave,"Fremont, CA 94536",1298888,3Beds,2Baths,"1,168Sq Ft",54 / 100,31 / 100,48 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/4747-Cortez-Ave-94536/home/1990316
179,1924 Oak Crest Dr,"Oakland, CA 94602",1089000,2Beds,2Baths,"1,328Sq Ft",31 / 100,38 / 100,21 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1924-Oak-Crest-Dr-94602/home/812499
180,1812 13Th Ave,"Oakland, CA 94606",699000,2Beds,2Baths,"1,191Sq Ft",88 / 100,56 / 100,74 / 100,75Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1812-13th-Ave-94606/home/1891257
181,736 Sunset Dr,"Livermore, CA 94551",1325000,3Beds,3Baths,"1,763Sq Ft",43 / 100,0,66 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/736-Sunset-Dr-94551/home/883446
182,3114 California St,"Oakland, CA 94602",999000,3Beds,2Baths,"1,234Sq Ft",71 / 100,49 / 100,45 / 100,82Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/3114-California-St-94602/home/1716070
183,45158 Tom Blalock St Unit 106 B4,"Fremont, CA 94539",1417195,2Beds,2Baths,"1,688Sq Ft",25 / 100,52 / 100,62 / 100,84Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/45158-Tom-Blalock-St-94539/unit-106-B4/home/179261781
184,29566 Chance St,"HAYWARD, CA 94544",889888,3Beds,2Baths,"1,154Sq Ft",33 / 100,50 / 100,67 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/29566-Chance-St-94544/home/1752426
185,715 Pinedale Ct,"Hayward, CA 94544",759000,3Beds,2Baths,"1,094Sq Ft",83 / 100,62 / 100,63 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/715-Pinedale-Ct-94544/home/1641560
186,310 La Salle Ave,"Piedmont, CA 94610",3895000,5Beds,3.5Baths,"3,647Sq Ft",20 / 100,0,16 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Piedmont/310-La-Salle-Ave-94610/home/649186
187,5804 Fleming Ave,"Oakland, CA 94605",875000,3Beds,1.5Baths,"1,684Sq Ft",77 / 100,55 / 100,62 / 100,77Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/5804-Fleming-Ave-94605/home/1952597
188,222 Broadway #1107,"Oakland, CA 94607",995000,2Beds,2.5Baths,"1,269Sq Ft",96 / 100,82 / 100,82 / 100,70Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/222-Broadway-94607/unit-1107/home/28696703
189,3920 Brookdale Ave,"Oakland, CA 94619",900000,4Beds,2.5Baths,"1,813Sq Ft",71 / 100,50 / 100,62 / 100,73Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/3920-Brookdale-Ave-94619/home/1902778
190,442 D St,"Fremont, CA 94536",1449000,3Beds,2Baths,"1,324Sq Ft",65 / 100,25 / 100,49 / 100,90Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/442-D-St-94536/home/1474743
191,5770 Barley Rd,"Dublin, CA 94568",1590000,4Beds,4Baths,"2,424Sq Ft",41 / 100,0,90 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/5770-Barley-Rd-94568/home/167331837
192,950 Hotel Ave,"HAYWARD, CA 94541",695000,2Beds,1Bath,899Sq Ft,97 / 100,64 / 100,60 / 100,83Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/950-Hotel-Ave-94541/home/1920409
193,3488 Skyline Dr,"Hayward, CA 94542",1095000,4Beds,3Baths,"2,276Sq Ft",10 / 100,18 / 100,7 / 100,94Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Hayward/3488-Skyline-Dr-94542/home/734998
194,1346 Ocaso Camino,"Fremont, CA 94539",1398000,2Beds,2.5Baths,"2,213Sq Ft",18 / 100,27 / 100,17 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/1346-Ocaso-Camino-94539/home/1324748
195,6372 Buena Vista Dr Unit B,"Newark, CA 94560",799888,3Beds,2Baths,"1,488Sq Ft",57 / 100,0,55 / 100,96Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Newark/6372-Buena-Vista-Dr-94560/unit-B/home/1927973
196,3732 Carrigan Cmn,"Livermore, CA 94550",599999,2Beds,1.5Baths,"1,120Sq Ft",77 / 100,0,85 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/3732-Carrigan-Cmn-94550/home/600372
197,31 Carver Ln,"Sunol, CA 94586",3488000,5Beds,3Baths,"4,360Sq Ft",0 / 100,0,4 / 100,67Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Sunol/31-Carver-Ln-94586/home/876581
198,1398 Benedict Ct,"Pleasanton, CA 94566",3700000,5Beds,5.5Baths,"4,746Sq Ft",11 / 100,16 / 100,8 / 100,97Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Pleasanton/1398-Benedict-Ct-94566/home/1755694
199,4449 Cherrywood Ave,"Fremont, CA 94538",1150000,3Beds,1Bath,"1,381Sq Ft",39 / 100,31 / 100,47 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/4449-Cherrywood-Ave-94538/home/1113660
200,741 S K St,"Livermore, CA 94550",1850000,3Beds,2.5Baths,"2,780Sq Ft",83 / 100,0,80 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/741-S-K-St-94550/home/873789
201,932 Adams St,"Albany, CA 94706",1278000,3Beds,2Baths,"1,182Sq Ft",87 / 100,56 / 100,98 / 100,86Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Albany/932-Adams-St-94706/home/1873405
202,1170 Bluebell Dr,"LIVERMORE, CA 94551",1149000,3Beds,2.5Baths,"1,846Sq Ft",44 / 100,0,64 / 100,92Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1170-Bluebell-Dr-94551/home/1860972
203,6859 The Turn,"Oakland, CA 94611",1499000,3Beds,3Baths,"2,160Sq Ft",8 / 100,18 / 100,19 / 100,87Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/6859-The-Turn-94611/home/1892277
204,3240 Peralta St #7,"Oakland, CA 94608",799000,1Bed,2Baths,"1,718Sq Ft",88 / 100,62 / 100,95 / 100,48Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/3240-Peralta-St-94608/unit-7/home/22988407
205,1145 El Dorado,"Livermore, CA 94550",1100000,5Beds,2Baths,"1,812Sq Ft",51 / 100,0,66 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Livermore/1145-El-Dorado-Dr-94550/home/1151854
206,5568 Metropolitan Way,"Dublin, CA 94568",1688000,3Beds,3.5Baths,"2,688Sq Ft",3 / 100,0,69 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Dublin/5568-Metropolitan-Way-94568/home/146473127
207,367 Moraga Ave,"Piedmont, CA 94611",1799999,4Beds,2Baths,"2,425Sq Ft",56 / 100,0,43 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Piedmont/367-Moraga-Ave-94611/home/641433
208,330 Park View Ter #304,"Oakland, CA 94610",749000,2Beds,2Baths,"1,235Sq Ft",92 / 100,71 / 100,90 / 100,64Somewhat CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/330-Park-View-Ter-94610/unit-304/home/1754391
209,3005 Acton,"Berkeley, CA 94702",825000,2Beds,1Bath,733Sq Ft,87 / 100,61 / 100,92 / 100,81Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Berkeley/3005-Acton-St-94702/home/1364985
210,1542 Tucker St #34,"Oakland, CA 94603",599000,2Beds,1.5Baths,"1,175Sq Ft",83 / 100,54 / 100,71 / 100,78Very CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Oakland/1542-Tucker-St-94603/unit-34/home/1338464
211,38620 Canyon Heights Dr,"Fremont, CA 94536",1500000,4Beds,2Baths,"1,822Sq Ft",12 / 100,27 / 100,8 / 100,93Most CompetitiveRedfin Compete Score™,https://www.redfin.com//CA/Fremont/38620-Canyon-Heights-Dr-94536/home/1470853
